race,sex,age,age_cat,marital_status,juv_offense,priors_count,is_recid
African-American,Male,51,Greater than 45,Single,0,2,0
Caucasian,Male,29,25 - 45,Married,0,2,1
African-American,Male,25,25 - 45,Single,0,0,0
African-American,Female,51,Greater than 45,Separated,0,7,0
Caucasian,Male,28,25 - 45,Single,0,8,0
African-American,Male,36,25 - 45,Married,0,22,0
African-American,Male,29,25 - 45,Single,0,0,1
Other,Male,29,25 - 45,Single,0,0,0
Caucasian,Male,25,25 - 45,Single,0,9,1
African-American,Male,35,25 - 45,Significant Other,1,13,1
Caucasian,Male,49,Greater than 45,Married,0,0,0
African-American,Male,29,25 - 45,Significant Other,0,0,0
Caucasian,Male,29,25 - 45,Single,0,1,1
Other,Female,28,25 - 45,Single,0,0,0
Caucasian,Male,51,Greater than 45,Single,0,0,0
Caucasian,Male,25,25 - 45,Single,0,0,0
Caucasian,Male,33,25 - 45,Single,0,1,0
African-American,Male,30,25 - 45,Single,1,3,0
African-American,Male,31,25 - 45,Single,1,15,1
African-American,Male,24,Less than 25,Single,0,2,1
African-American,Male,27,25 - 45,Single,0,0,0
Caucasian,Male,32,25 - 45,Single,0,3,0
Hispanic,Male,30,25 - 45,Single,0,0,0
African-American,Male,49,Greater than 45,Married,0,4,0
Caucasian,Male,53,Greater than 45,Single,0,8,0
Hispanic,Female,31,25 - 45,Single,0,0,0
African-American,Male,35,25 - 45,Significant Other,0,5,0
African-American,Male,33,25 - 45,Married,0,2,0
African-American,Male,27,25 - 45,Single,1,15,1
Caucasian,Male,38,25 - 45,Single,0,4,1
Caucasian,Male,46,Greater than 45,Married,1,9,0
African-American,Male,22,Less than 25,Single,1,1,1
Caucasian,Female,34,25 - 45,Married,0,0,0
African-American,Male,29,25 - 45,Single,0,4,1
Hispanic,Male,62,Greater than 45,Single,0,0,0
African-American,Male,27,25 - 45,Single,1,6,1
Other,Male,33,25 - 45,Single,0,0,0
African-American,Female,56,Greater than 45,Divorced,0,0,0
Hispanic,Male,45,Greater than 45,Single,0,6,1
Hispanic,Male,22,Less than 25,Single,0,1,0
Caucasian,Female,31,25 - 45,Single,0,2,0
African-American,Male,34,25 - 45,Married,0,0,0
African-American,Male,39,25 - 45,Single,0,1,0
African-American,Male,24,Less than 25,Single,1,4,0
African-American,Male,29,25 - 45,Single,0,5,1
Caucasian,Male,27,25 - 45,Single,1,1,1
African-American,Male,40,25 - 45,Single,0,2,0
African-American,Male,22,Less than 25,Single,0,1,1
Caucasian,Male,22,Less than 25,Single,0,0,0
African-American,Female,26,25 - 45,Single,0,1,1
African-American,Male,32,25 - 45,Significant Other,0,0,0
African-American,Male,41,25 - 45,Single,0,1,0
Caucasian,Male,50,Greater than 45,Married,0,0,0
African-American,Male,30,25 - 45,Single,0,8,1
African-American,Male,66,Greater than 45,Single,0,0,0
Caucasian,Male,22,Less than 25,Single,0,3,0
Other,Male,50,Greater than 45,Married,0,0,1
African-American,Male,25,25 - 45,Single,1,14,1
Other,Male,20,Less than 25,Single,0,0,1
African-American,Male,22,Less than 25,Single,1,2,1
African-American,Male,54,Greater than 45,Single,0,6,0
Caucasian,Male,40,25 - 45,Divorced,0,4,0
African-American,Female,35,25 - 45,Single,0,1,0
African-American,Male,36,25 - 45,Single,0,9,1
Caucasian,Male,26,25 - 45,Single,0,7,1
Other,Male,21,Less than 25,Single,0,1,1
Caucasian,Male,25,25 - 45,Single,0,9,1
African-American,Male,34,25 - 45,Single,0,3,0
Caucasian,Female,20,Less than 25,Single,0,0,0
Caucasian,Male,39,25 - 45,Single,0,2,1
Caucasian,Female,54,Greater than 45,Divorced,0,0,0
Hispanic,Female,44,25 - 45,Married,0,0,0
African-American,Male,19,Less than 25,Single,0,1,1
African-American,Male,30,25 - 45,Single,0,1,0
Caucasian,Female,39,25 - 45,Married,0,0,1
African-American,Female,32,25 - 45,Single,0,8,0
Caucasian,Male,24,Less than 25,Single,1,8,1
Caucasian,Male,30,25 - 45,Single,0,0,0
Caucasian,Male,31,25 - 45,Single,0,0,0
Caucasian,Female,39,25 - 45,Single,0,1,0
Caucasian,Male,35,25 - 45,Single,0,7,0
Other,Female,24,Less than 25,Married,0,0,0
Caucasian,Male,43,25 - 45,Single,0,1,0
African-American,Male,21,Less than 25,Single,1,2,0
African-American,Female,21,Less than 25,Single,0,0,0
African-American,Male,21,Less than 25,Single,0,3,1
African-American,Male,27,25 - 45,Single,0,0,0
African-American,Male,20,Less than 25,Single,0,0,0
Caucasian,Male,38,25 - 45,Married,0,5,1
African-American,Male,27,25 - 45,Single,0,3,0
Caucasian,Male,34,25 - 45,Single,0,0,0
African-American,Male,30,25 - 45,Single,0,3,0
African-American,Male,33,25 - 45,Significant Other,0,5,1
African-American,Male,37,25 - 45,Separated,0,3,0
Caucasian,Male,42,25 - 45,Significant Other,0,1,1
African-American,Male,41,25 - 45,Single,1,10,1
African-American,Male,22,Less than 25,Single,0,0,1
African-American,Male,33,25 - 45,Divorced,1,28,1
Caucasian,Male,44,25 - 45,Single,0,0,0
African-American,Male,31,25 - 45,Single,0,1,0
African-American,Male,26,25 - 45,Single,0,9,0
Other,Female,30,25 - 45,Single,0,1,0
Caucasian,Male,31,25 - 45,Single,0,13,1
African-American,Male,27,25 - 45,Single,0,3,1
Caucasian,Female,31,25 - 45,Single,0,1,0
Hispanic,Male,47,Greater than 45,Single,0,2,0
Asian,Male,33,25 - 45,Single,0,2,0
Caucasian,Male,52,Greater than 45,Single,0,3,0
African-American,Male,33,25 - 45,Single,0,19,1
Caucasian,Male,61,Greater than 45,Single,0,0,0
Caucasian,Male,42,25 - 45,Single,0,6,0
Caucasian,Female,25,25 - 45,Single,0,2,0
Caucasian,Male,27,25 - 45,Single,0,0,0
Caucasian,Male,30,25 - 45,Single,0,1,0
Other,Female,37,25 - 45,Married,0,2,0
Caucasian,Male,21,Less than 25,Single,0,1,0
Caucasian,Male,28,25 - 45,Single,0,0,1
African-American,Female,24,Less than 25,Single,0,0,0
African-American,Male,37,25 - 45,Single,0,13,0
African-American,Male,22,Less than 25,Single,0,0,0
Caucasian,Female,29,25 - 45,Single,1,10,1
Caucasian,Female,25,25 - 45,Single,0,0,0
Caucasian,Male,44,25 - 45,Married,0,2,1
African-American,Male,32,25 - 45,Single,0,3,1
Hispanic,Male,53,Greater than 45,Married,0,1,0
Other,Male,34,25 - 45,Married,0,1,0
Caucasian,Male,31,25 - 45,Single,0,2,1
African-American,Male,27,25 - 45,Single,0,5,0
African-American,Male,31,25 - 45,Married,0,1,1
Caucasian,Male,59,Greater than 45,Single,0,1,1
African-American,Male,28,25 - 45,Single,0,15,0
Caucasian,Male,23,Less than 25,Single,0,0,0
African-American,Female,20,Less than 25,Single,1,1,0
Caucasian,Female,43,25 - 45,Married,0,0,0
African-American,Male,38,25 - 45,Single,1,9,1
African-American,Male,32,25 - 45,Single,0,11,1
African-American,Male,33,25 - 45,Single,0,8,1
African-American,Male,55,Greater than 45,Single,0,4,0
African-American,Female,31,25 - 45,Single,0,0,1
African-American,Female,33,25 - 45,Single,0,7,1
African-American,Male,27,25 - 45,Single,0,2,1
African-American,Male,52,Greater than 45,Married,0,0,0
African-American,Female,20,Less than 25,Single,0,0,0
Caucasian,Female,26,25 - 45,Single,0,0,0
African-American,Male,25,25 - 45,Single,0,4,0
African-American,Female,61,Greater than 45,Significant Other,0,1,1
Other,Male,52,Greater than 45,Married,0,13,1
Hispanic,Male,63,Greater than 45,Single,0,1,0
African-American,Female,32,25 - 45,Single,0,4,1
Hispanic,Male,29,25 - 45,Single,0,1,0
African-American,Female,26,25 - 45,Single,0,2,1
Caucasian,Male,39,25 - 45,Single,1,1,0
Caucasian,Female,30,25 - 45,Single,0,3,1
African-American,Male,30,25 - 45,Single,0,1,0
Caucasian,Male,48,Greater than 45,Single,0,2,0
Caucasian,Male,33,25 - 45,Married,0,0,0
African-American,Male,22,Less than 25,Single,0,1,0
Caucasian,Male,46,Greater than 45,Single,0,6,1
Caucasian,Male,41,25 - 45,Single,0,5,0
Caucasian,Male,31,25 - 45,Single,0,0,0
African-American,Male,31,25 - 45,Single,0,0,0
African-American,Male,25,25 - 45,Single,0,1,1
African-American,Male,31,25 - 45,Single,0,3,0
African-American,Female,21,Less than 25,Single,0,0,0
Hispanic,Male,23,Less than 25,Single,0,0,0
African-American,Female,32,25 - 45,Single,0,5,0
Hispanic,Male,52,Greater than 45,Married,0,2,0
African-American,Male,62,Greater than 45,Single,0,8,0
Hispanic,Male,31,25 - 45,Single,0,8,1
African-American,Male,28,25 - 45,Divorced,0,6,1
Hispanic,Male,54,Greater than 45,Single,0,2,0
Hispanic,Male,58,Greater than 45,Single,0,0,0
Caucasian,Male,78,Greater than 45,Married,0,1,1
Caucasian,Male,56,Greater than 45,Divorced,0,0,0
Other,Male,24,Less than 25,Married,0,0,0
African-American,Male,39,25 - 45,Single,0,3,0
Caucasian,Male,35,25 - 45,Married,0,0,0
African-American,Male,22,Less than 25,Single,0,1,1
African-American,Male,47,Greater than 45,Single,0,23,1
African-American,Male,23,Less than 25,Single,0,0,1
Hispanic,Male,57,Greater than 45,Divorced,0,1,0
African-American,Male,66,Greater than 45,Married,0,3,1
Caucasian,Male,45,Greater than 45,Divorced,0,8,1
Caucasian,Female,28,25 - 45,Single,0,0,0
African-American,Male,37,25 - 45,Single,0,2,1
Caucasian,Male,39,25 - 45,Single,0,0,1
African-American,Male,26,25 - 45,Single,0,9,1
African-American,Male,25,25 - 45,Single,0,3,0
Caucasian,Male,45,Greater than 45,Single,0,2,0
Caucasian,Female,57,Greater than 45,Married,0,7,0
African-American,Male,23,Less than 25,Significant Other,0,0,1
African-American,Male,34,25 - 45,Single,0,2,1
African-American,Male,38,25 - 45,Single,0,14,0
African-American,Female,23,Less than 25,Single,0,1,0
Other,Male,36,25 - 45,Single,0,2,1
Caucasian,Male,50,Greater than 45,Single,0,1,0
Caucasian,Female,37,25 - 45,Single,0,0,0
Caucasian,Male,44,25 - 45,Separated,0,4,0
African-American,Female,35,25 - 45,Single,1,23,1
Other,Male,24,Less than 25,Significant Other,0,5,1
African-American,Male,26,25 - 45,Single,0,2,1
Other,Male,37,25 - 45,Single,0,1,0
African-American,Male,27,25 - 45,Single,0,0,0
Caucasian,Female,31,25 - 45,Married,0,1,0
African-American,Female,28,25 - 45,Single,0,0,0
Caucasian,Female,28,25 - 45,Single,0,7,1
African-American,Male,38,25 - 45,Significant Other,0,0,0
African-American,Male,38,25 - 45,Significant Other,0,2,0
African-American,Female,28,25 - 45,Single,0,1,0
African-American,Male,21,Less than 25,Single,1,1,0
Caucasian,Male,56,Greater than 45,Divorced,0,7,1
African-American,Male,38,25 - 45,Separated,0,15,0
African-American,Male,28,25 - 45,Single,0,2,0
Other,Female,24,Less than 25,Single,0,1,0
Caucasian,Female,51,Greater than 45,Single,0,0,1
Caucasian,Male,51,Greater than 45,Single,0,0,0
Caucasian,Male,20,Less than 25,Single,1,0,0
Other,Male,36,25 - 45,Separated,0,1,1
African-American,Male,48,Greater than 45,Married,0,0,0
Caucasian,Male,37,25 - 45,Single,0,4,1
African-American,Female,30,25 - 45,Single,0,2,0
African-American,Female,41,25 - 45,Single,0,5,0
African-American,Male,27,25 - 45,Single,0,11,1
African-American,Male,37,25 - 45,Single,0,0,1
Other,Male,33,25 - 45,Single,0,4,1
African-American,Male,54,Greater than 45,Single,0,11,0
African-American,Male,23,Less than 25,Single,0,2,0
African-American,Male,22,Less than 25,Single,0,0,0
African-American,Female,23,Less than 25,Single,1,3,0
African-American,Male,41,25 - 45,Single,0,0,0
Caucasian,Male,52,Greater than 45,Single,0,0,0
Caucasian,Male,43,25 - 45,Single,0,13,1
African-American,Male,52,Greater than 45,Widowed,0,0,0
Caucasian,Male,28,25 - 45,Single,0,1,0
African-American,Male,30,25 - 45,Significant Other,1,11,1
Caucasian,Male,28,25 - 45,Single,0,1,0
African-American,Female,34,25 - 45,Single,0,0,0
African-American,Male,22,Less than 25,Single,0,0,0
African-American,Male,30,25 - 45,Single,0,4,0
Hispanic,Male,25,25 - 45,Single,0,4,0
Caucasian,Male,31,25 - 45,Single,0,0,1
Caucasian,Male,37,25 - 45,Single,0,0,1
African-American,Male,32,25 - 45,Single,1,14,0
Caucasian,Male,53,Greater than 45,Single,0,1,0
African-American,Male,28,25 - 45,Single,0,25,1
Caucasian,Male,44,25 - 45,Single,0,8,1
African-American,Male,25,25 - 45,Single,0,0,0
Other,Female,30,25 - 45,Married,0,0,0
Caucasian,Male,22,Less than 25,Single,1,1,1
African-American,Female,20,Less than 25,Single,0,0,0
Other,Female,37,25 - 45,Single,0,0,0
Caucasian,Female,33,25 - 45,Single,0,0,0
Caucasian,Female,47,Greater than 45,Single,0,2,0
Other,Female,40,25 - 45,Single,0,3,0
Other,Male,24,Less than 25,Single,0,0,0
Hispanic,Female,31,25 - 45,Married,0,0,0
African-American,Male,47,Greater than 45,Married,0,0,0
Hispanic,Male,23,Less than 25,Single,1,1,1
Caucasian,Female,23,Less than 25,Single,1,5,1
Hispanic,Male,24,Less than 25,Single,0,0,0
African-American,Male,29,25 - 45,Single,0,1,0
African-American,Male,20,Less than 25,Single,0,1,1
African-American,Male,30,25 - 45,Single,0,2,1
Caucasian,Male,39,25 - 45,Single,0,1,0
African-American,Male,38,25 - 45,Single,0,1,0
Other,Male,39,25 - 45,Single,0,0,0
African-American,Male,27,25 - 45,Single,0,4,0
African-American,Male,18,Less than 25,Single,1,2,0
African-American,Female,37,25 - 45,Single,0,2,0
Caucasian,Male,31,25 - 45,Single,0,0,0
African-American,Male,27,25 - 45,Single,0,2,0
African-American,Male,20,Less than 25,Single,0,0,0
African-American,Male,46,Greater than 45,Married,1,5,0
Hispanic,Male,22,Less than 25,Single,1,0,0
African-American,Female,52,Greater than 45,Married,0,0,0
African-American,Female,23,Less than 25,Single,0,0,1
African-American,Male,20,Less than 25,Single,1,1,0
African-American,Female,48,Greater than 45,Single,0,0,0
Caucasian,Male,25,25 - 45,Single,0,0,0
Caucasian,Male,27,25 - 45,Single,0,0,1
African-American,Male,30,25 - 45,Single,0,11,1
African-American,Male,22,Less than 25,Single,1,3,1
Caucasian,Female,22,Less than 25,Single,0,1,0
African-American,Female,41,25 - 45,Single,0,2,0
Caucasian,Male,35,25 - 45,Single,0,9,0
African-American,Male,43,25 - 45,Single,0,0,0
Other,Female,25,25 - 45,Single,0,0,0
African-American,Male,52,Greater than 45,Single,0,3,1
African-American,Male,43,25 - 45,Single,0,0,0
African-American,Male,37,25 - 45,Significant Other,0,0,0
Other,Male,47,Greater than 45,Significant Other,0,1,0
Caucasian,Female,45,Greater than 45,Single,0,3,0
African-American,Male,23,Less than 25,Single,0,2,0
Caucasian,Male,37,25 - 45,Single,0,3,0
Caucasian,Male,70,Greater than 45,Married,0,1,0
Caucasian,Male,58,Greater than 45,Single,0,9,0
Caucasian,Male,46,Greater than 45,Single,0,3,0
African-American,Male,21,Less than 25,Single,0,0,1
African-American,Male,26,25 - 45,Single,0,1,1
Hispanic,Male,38,25 - 45,Married,0,3,1
Caucasian,Male,34,25 - 45,Single,0,5,0
Caucasian,Female,34,25 - 45,Single,0,0,0
African-American,Male,34,25 - 45,Single,0,5,0
African-American,Female,32,25 - 45,Married,0,3,0
Caucasian,Male,23,Less than 25,Single,0,0,1
African-American,Male,34,25 - 45,Single,0,5,1
African-American,Male,39,25 - 45,Single,0,6,1
Other,Male,24,Less than 25,Single,0,0,0
Caucasian,Male,33,25 - 45,Single,0,0,0
Caucasian,Male,58,Greater than 45,Married,0,2,0
African-American,Female,21,Less than 25,Significant Other,0,0,0
African-American,Male,56,Greater than 45,Separated,0,13,0
Caucasian,Male,27,25 - 45,Single,0,1,0
African-American,Male,23,Less than 25,Single,1,4,1
Caucasian,Male,62,Greater than 45,Divorced,0,0,0
Other,Male,57,Greater than 45,Married,0,6,0
Caucasian,Male,37,25 - 45,Single,0,5,0
Other,Male,43,25 - 45,Separated,0,2,1
African-American,Female,32,25 - 45,Single,0,5,0
African-American,Female,33,25 - 45,Single,0,2,0
Hispanic,Male,23,Less than 25,Single,0,0,0
African-American,Male,27,25 - 45,Single,0,0,0
Caucasian,Male,44,25 - 45,Single,0,0,1
Caucasian,Male,28,25 - 45,Single,0,3,1
Caucasian,Female,42,25 - 45,Divorced,0,0,0
African-American,Male,48,Greater than 45,Single,0,5,0
Other,Male,24,Less than 25,Single,1,9,1
African-American,Male,27,25 - 45,Single,0,0,0
African-American,Male,20,Less than 25,Single,0,0,1
African-American,Male,24,Less than 25,Single,0,1,0
Caucasian,Male,31,25 - 45,Single,1,6,0
African-American,Male,22,Less than 25,Single,1,2,0
Caucasian,Female,51,Greater than 45,Married,0,0,0
Caucasian,Male,56,Greater than 45,Single,0,0,0
Caucasian,Male,20,Less than 25,Single,0,0,0
African-American,Male,29,25 - 45,Single,0,7,0
Caucasian,Male,42,25 - 45,Single,0,0,0
African-American,Male,20,Less than 25,Single,0,0,1
African-American,Male,48,Greater than 45,Single,0,8,0
Other,Male,24,Less than 25,Single,0,0,0
Caucasian,Male,27,25 - 45,Single,0,8,0
African-American,Male,24,Less than 25,Single,1,2,1
African-American,Female,22,Less than 25,Single,0,0,0
Caucasian,Male,53,Greater than 45,Single,0,36,1
Caucasian,Male,36,25 - 45,Single,0,0,0
Caucasian,Male,28,25 - 45,Significant Other,0,2,1
Hispanic,Male,46,Greater than 45,Married,0,1,0
Other,Male,21,Less than 25,Single,0,0,0
Hispanic,Male,21,Less than 25,Single,1,3,1
African-American,Female,36,25 - 45,Single,0,0,0
Caucasian,Female,25,25 - 45,Single,0,2,1
Hispanic,Female,23,Less than 25,Single,0,1,1
Hispanic,Male,54,Greater than 45,Divorced,0,2,0
Caucasian,Male,28,25 - 45,Single,0,1,0
African-American,Female,21,Less than 25,Single,0,0,1
Caucasian,Male,36,25 - 45,Married,0,0,0
African-American,Male,24,Less than 25,Single,0,0,0
Other,Male,30,25 - 45,Single,0,1,1
African-American,Male,29,25 - 45,Single,0,0,0
Caucasian,Female,30,25 - 45,Single,0,0,0
Hispanic,Male,51,Greater than 45,Married,0,1,0
African-American,Male,37,25 - 45,Single,0,4,0
African-American,Male,32,25 - 45,Single,1,12,1
African-American,Male,23,Less than 25,Single,1,1,0
African-American,Male,47,Greater than 45,Single,0,3,0
Caucasian,Male,37,25 - 45,Single,0,0,0
African-American,Male,19,Less than 25,Single,1,2,1
Hispanic,Male,27,25 - 45,Single,0,0,0
Other,Male,39,25 - 45,Married,0,0,0
Caucasian,Female,21,Less than 25,Significant Other,1,0,0
Caucasian,Male,69,Greater than 45,Divorced,0,0,0
Caucasian,Male,21,Less than 25,Single,0,2,0
African-American,Male,26,25 - 45,Single,1,6,1
Caucasian,Male,22,Less than 25,Single,0,0,0
African-American,Female,23,Less than 25,Single,0,0,1
Caucasian,Male,28,25 - 45,Single,0,0,0
Caucasian,Male,45,Greater than 45,Single,0,0,0
African-American,Male,49,Greater than 45,Single,0,3,0
African-American,Male,29,25 - 45,Single,1,2,1
Caucasian,Female,60,Greater than 45,Single,0,0,0
African-American,Male,23,Less than 25,Single,1,3,1
Caucasian,Male,30,25 - 45,Single,0,0,0
Other,Female,20,Less than 25,Single,1,1,0
Hispanic,Male,36,25 - 45,Single,0,1,0
Caucasian,Male,30,25 - 45,Single,0,0,0
African-American,Male,21,Less than 25,Single,1,1,1
African-American,Male,34,25 - 45,Married,1,11,0
Hispanic,Male,25,25 - 45,Single,0,1,0
African-American,Male,25,25 - 45,Single,0,7,0
Caucasian,Male,22,Less than 25,Single,0,2,1
Caucasian,Male,29,25 - 45,Single,0,2,0
African-American,Male,29,25 - 45,Single,1,7,0
African-American,Male,21,Less than 25,Single,0,4,1
African-American,Male,21,Less than 25,Single,0,0,1
Caucasian,Male,33,25 - 45,Single,0,3,0
Caucasian,Male,34,25 - 45,Divorced,0,1,0
Caucasian,Male,27,25 - 45,Single,0,0,0
Caucasian,Female,50,Greater than 45,Married,0,1,1
African-American,Male,26,25 - 45,Single,0,1,0
Caucasian,Male,40,25 - 45,Married,0,0,1
African-American,Male,25,25 - 45,Single,0,7,1
Caucasian,Female,53,Greater than 45,Single,0,1,0
African-American,Female,24,Less than 25,Single,0,0,0
Caucasian,Male,39,25 - 45,Married,0,2,0
African-American,Male,42,25 - 45,Separated,0,1,0
African-American,Male,28,25 - 45,Married,0,1,0
Hispanic,Female,23,Less than 25,Single,0,0,0
African-American,Male,26,25 - 45,Single,1,6,1
African-American,Male,42,25 - 45,Single,0,3,0
Caucasian,Male,22,Less than 25,Single,1,1,0
African-American,Male,22,Less than 25,Single,0,4,1
Caucasian,Male,21,Less than 25,Single,0,3,0
African-American,Male,37,25 - 45,Single,0,23,1
Caucasian,Male,44,25 - 45,Single,0,0,0
African-American,Male,35,25 - 45,Single,0,2,0
African-American,Male,36,25 - 45,Single,0,8,0
African-American,Male,53,Greater than 45,Single,0,2,0
African-American,Male,29,25 - 45,Single,0,7,1
Caucasian,Male,48,Greater than 45,Single,1,23,1
African-American,Male,23,Less than 25,Single,0,0,0
Hispanic,Male,48,Greater than 45,Single,0,8,0
Caucasian,Female,52,Greater than 45,Single,0,0,0
African-American,Male,44,25 - 45,Single,0,7,0
Asian,Male,28,25 - 45,Single,0,1,0
African-American,Male,27,25 - 45,Single,0,12,1
African-American,Male,28,25 - 45,Single,0,5,1
Caucasian,Male,33,25 - 45,Married,0,3,0
Hispanic,Female,28,25 - 45,Single,0,0,0
African-American,Male,36,25 - 45,Separated,0,14,1
African-American,Male,29,25 - 45,Single,1,2,0
African-American,Male,22,Less than 25,Single,1,0,1
Caucasian,Male,40,25 - 45,Married,0,0,0
Caucasian,Male,65,Greater than 45,Married,0,0,0
Caucasian,Male,25,25 - 45,Single,0,0,0
Caucasian,Female,32,25 - 45,Single,0,1,0
African-American,Male,56,Greater than 45,Married,0,5,0
African-American,Male,27,25 - 45,Single,0,9,1
Caucasian,Male,52,Greater than 45,Single,0,4,1
African-American,Female,31,25 - 45,Single,0,0,0
African-American,Male,32,25 - 45,Single,0,3,0
Other,Male,60,Greater than 45,Single,0,4,0
African-American,Male,31,25 - 45,Single,0,4,0
Hispanic,Male,23,Less than 25,Single,0,1,0
Caucasian,Female,39,25 - 45,Single,0,0,0
Caucasian,Male,56,Greater than 45,Single,0,0,0
African-American,Female,22,Less than 25,Single,0,0,0
Caucasian,Female,47,Greater than 45,Married,0,1,0
African-American,Male,53,Greater than 45,Single,0,11,0
Caucasian,Male,25,25 - 45,Single,0,0,1
Hispanic,Male,21,Less than 25,Single,0,0,0
Caucasian,Male,22,Less than 25,Single,0,0,0
Hispanic,Female,43,25 - 45,Divorced,0,0,0
Caucasian,Female,59,Greater than 45,Single,0,0,0
Caucasian,Female,58,Greater than 45,Widowed,0,2,0
African-American,Male,53,Greater than 45,Unknown,0,4,0
African-American,Male,31,25 - 45,Single,0,7,1
African-American,Male,22,Less than 25,Single,0,2,0
Caucasian,Male,22,Less than 25,Single,0,1,1
African-American,Male,28,25 - 45,Single,0,8,1
Other,Male,42,25 - 45,Single,0,1,0
African-American,Male,20,Less than 25,Single,0,0,1
Caucasian,Male,29,25 - 45,Single,0,0,1
Caucasian,Female,41,25 - 45,Single,0,0,0
African-American,Male,58,Greater than 45,Single,0,21,1
African-American,Male,22,Less than 25,Single,0,3,0
Hispanic,Male,48,Greater than 45,Unknown,0,1,1
Caucasian,Male,37,25 - 45,Single,0,0,0
African-American,Male,57,Greater than 45,Single,0,1,1
Caucasian,Male,27,25 - 45,Single,0,3,0
African-American,Male,26,25 - 45,Single,0,3,0
Caucasian,Male,24,Less than 25,Single,1,3,1
Caucasian,Male,33,25 - 45,Married,0,0,0
Caucasian,Male,28,25 - 45,Single,0,1,0
African-American,Male,29,25 - 45,Single,0,2,0
African-American,Female,24,Less than 25,Single,0,3,1
Caucasian,Male,24,Less than 25,Single,0,0,0
Caucasian,Male,19,Less than 25,Single,1,1,1
Caucasian,Male,36,25 - 45,Single,0,2,0
Other,Male,33,25 - 45,Single,0,0,0
Caucasian,Female,24,Less than 25,Single,0,0,0
Caucasian,Male,32,25 - 45,Single,0,0,0
Caucasian,Male,34,25 - 45,Married,0,0,0
African-American,Male,31,25 - 45,Single,0,1,0
African-American,Male,24,Less than 25,Married,0,4,0
Hispanic,Male,25,25 - 45,Married,0,2,1
African-American,Male,20,Less than 25,Single,1,1,1
African-American,Male,22,Less than 25,Single,0,1,0
African-American,Male,24,Less than 25,Significant Other,0,1,1
Caucasian,Male,61,Greater than 45,Married,0,4,0
Caucasian,Male,34,25 - 45,Single,0,9,0
Caucasian,Female,27,25 - 45,Single,0,1,0
African-American,Female,50,Greater than 45,Single,0,3,0
African-American,Male,30,25 - 45,Single,0,1,0
African-American,Male,38,25 - 45,Married,0,5,0
Caucasian,Male,24,Less than 25,Significant Other,0,0,0
African-American,Male,27,25 - 45,Single,1,2,0
Caucasian,Male,34,25 - 45,Single,0,0,0
African-American,Female,46,Greater than 45,Single,0,2,1
Caucasian,Male,41,25 - 45,Single,0,0,1
Other,Male,20,Less than 25,Single,1,0,1
African-American,Male,27,25 - 45,Single,0,13,1
African-American,Male,26,25 - 45,Single,0,1,1
African-American,Male,29,25 - 45,Single,0,3,1
Caucasian,Male,52,Greater than 45,Married,0,6,1
Caucasian,Male,28,25 - 45,Single,0,1,1
African-American,Male,55,Greater than 45,Single,0,5,1
