race,sex,age,age_cat,marital_status,custody_status,juv_offense,priors_count,c_charge_degree,days_in_jail_or_prison,decile_score,is_recid,sqrt_age,sqrt_priors_count,sqrt_days_in_jail_or_prison,risk
African-American,Male,30,25 - 45,Single,Jail Inmate,1,3,(F3),2,6,0,5.477225575051661,1.7320508075688772,1.4142135623730951,Higher
African-American,Male,31,25 - 45,Single,Jail Inmate,1,15,(F2),136,5,1,5.5677643628300215,3.872983346207417,11.661903789690601,Lower
African-American,Male,24,Less than 25,Single,Jail Inmate,0,2,(F3),2,4,1,4.898979485566356,1.4142135623730951,1.4142135623730951,Lower
African-American,Male,27,25 - 45,Single,Jail Inmate,0,0,(F3),1,5,0,5.196152422706632,0,1,Lower
Caucasian,Male,32,25 - 45,Single,Jail Inmate,0,3,(F3),2,8,0,5.656854249492381,1.7320508075688772,1.4142135623730951,Higher
Hispanic,Male,30,25 - 45,Single,Jail Inmate,0,0,(M1),0,7,0,5.477225575051661,0,0,Higher
African-American,Male,49,Greater than 45,Married,Jail Inmate,0,4,(M1),1,1,0,7,2,1,Lower
Caucasian,Male,53,Greater than 45,Single,Jail Inmate,0,8,(F3),1251,5,0,7.280109889280518,2.8284271247461903,35.369478367654786,Lower
Hispanic,Female,31,25 - 45,Single,Pretrial Defendant,0,0,(M1),0,1,0,5.5677643628300215,0,0,Lower
African-American,Male,35,25 - 45,Significant Other,Jail Inmate,0,5,(F3),1,3,0,5.916079783099616,2.23606797749979,1,Lower
African-American,Male,33,25 - 45,Married,Jail Inmate,0,2,(F2),1,1,0,5.744562646538029,1.4142135623730951,1,Lower
African-American,Male,27,25 - 45,Single,Jail Inmate,1,15,(F3),10,10,1,5.196152422706632,3.872983346207417,3.1622776601683795,Higher
Caucasian,Male,38,25 - 45,Single,Jail Inmate,0,4,(M1),2,2,1,6.164414002968976,2,1.4142135623730951,Lower
Caucasian,Male,46,Greater than 45,Married,Jail Inmate,1,9,(F3),4700,6,0,6.782329983125268,3,68.55654600401044,Higher
African-American,Male,22,Less than 25,Single,Jail Inmate,1,1,(F3),1,4,1,4.69041575982343,1,1,Lower
Caucasian,Female,34,25 - 45,Married,Jail Inmate,0,0,(M1),0,1,0,5.830951894845301,0,0,Lower
African-American,Male,29,25 - 45,Single,Jail Inmate,0,4,(F3),117,9,1,5.385164807134504,2,10.816653826391969,Higher
Hispanic,Male,62,Greater than 45,Single,Jail Inmate,0,0,(M2),0,1,0,7.874007874011811,0,0,Lower
African-American,Male,27,25 - 45,Single,Jail Inmate,1,6,(F2),31,6,1,5.196152422706632,2.449489742783178,5.5677643628300215,Higher
Other,Male,33,25 - 45,Single,Jail Inmate,0,0,(M1),1,1,0,5.744562646538029,0,1,Lower
African-American,Female,56,Greater than 45,Divorced,Jail Inmate,0,0,(M1),0,1,0,7.483314773547883,0,0,Lower
Hispanic,Male,45,Greater than 45,Single,Jail Inmate,0,6,(F3),2901,1,1,6.708203932499369,2.449489742783178,53.86093203798092,Lower
Hispanic,Male,22,Less than 25,Single,Jail Inmate,0,1,(F3),1,4,0,4.69041575982343,1,1,Lower
Caucasian,Female,31,25 - 45,Single,Jail Inmate,0,2,(F3),1,3,0,5.5677643628300215,1.4142135623730951,1,Lower
African-American,Male,34,25 - 45,Married,Jail Inmate,0,0,(F3),0,4,0,5.830951894845301,0,0,Lower
African-American,Male,39,25 - 45,Single,Jail Inmate,0,1,(M1),5,4,0,6.244997998398398,1,2.23606797749979,Lower
African-American,Male,24,Less than 25,Single,Jail Inmate,1,4,(M1),1,6,0,4.898979485566356,2,1,Higher
African-American,Male,29,25 - 45,Single,Jail Inmate,0,5,(F3),2,6,1,5.385164807134504,2.23606797749979,1.4142135623730951,Higher
Caucasian,Male,27,25 - 45,Single,Jail Inmate,1,1,(F3),36,6,1,5.196152422706632,1,6,Higher
African-American,Male,40,25 - 45,Single,Pretrial Defendant,0,2,(F3),3,2,0,6.324555320336759,1.4142135623730951,1.7320508075688772,Lower
African-American,Male,22,Less than 25,Single,Jail Inmate,0,1,(M1),0,3,1,4.69041575982343,1,0,Lower
Caucasian,Male,22,Less than 25,Single,Jail Inmate,0,0,(F3),58,8,0,4.69041575982343,0,7.615773105863909,Higher
African-American,Female,26,25 - 45,Single,Jail Inmate,0,1,(F2),2,4,1,5.0990195135927845,1,1.4142135623730951,Lower
African-American,Male,32,25 - 45,Significant Other,Jail Inmate,0,0,(F3),1,2,0,5.656854249492381,0,1,Lower
African-American,Male,41,25 - 45,Single,Jail Inmate,0,1,(M2),2,2,0,6.4031242374328485,1,1.4142135623730951,Lower
Caucasian,Male,50,Greater than 45,Married,Jail Inmate,0,0,(M1),1,1,0,7.0710678118654755,0,1,Lower
African-American,Male,30,25 - 45,Single,Jail Inmate,0,8,(M1),255,10,1,5.477225575051661,2.8284271247461903,15.968719422671311,Higher
African-American,Male,66,Greater than 45,Single,Jail Inmate,0,0,(MO3),406,9,0,8.12403840463596,0,20.149441679609886,Higher
Caucasian,Male,22,Less than 25,Single,Pretrial Defendant,0,3,(F3),0,6,0,4.69041575982343,1.7320508075688772,0,Higher
Other,Male,50,Greater than 45,Married,Jail Inmate,0,0,(F3),1,1,1,7.0710678118654755,0,1,Lower
African-American,Male,25,25 - 45,Single,Jail Inmate,1,14,(F2),8,10,1,5,3.7416573867739413,2.8284271247461903,Higher
Other,Male,20,Less than 25,Single,Jail Inmate,0,0,(F3),1,5,1,4.47213595499958,0,1,Lower
African-American,Male,22,Less than 25,Single,Jail Inmate,1,2,(F3),1,9,1,4.69041575982343,1.4142135623730951,1,Higher
African-American,Male,54,Greater than 45,Single,Jail Inmate,0,6,(F1),8889,6,0,7.3484692283495345,2.449489742783178,94.28149341201592,Higher
Caucasian,Male,40,25 - 45,Divorced,Jail Inmate,0,4,(F3),1,5,0,6.324555320336759,2,1,Lower
African-American,Female,35,25 - 45,Single,Jail Inmate,0,1,(M2),1,2,0,5.916079783099616,1,1,Lower
African-American,Male,36,25 - 45,Single,Jail Inmate,0,9,(F2),591,7,1,6,3,24.310491562286437,Higher
Caucasian,Male,26,25 - 45,Single,Jail Inmate,0,7,(F3),0,8,1,5.0990195135927845,2.6457513110645907,0,Higher
Other,Male,21,Less than 25,Single,Jail Inmate,0,1,(F3),0,6,1,4.58257569495584,1,0,Higher
Caucasian,Male,25,25 - 45,Single,Jail Inmate,0,9,(F3),1,8,1,5,3,1,Higher
African-American,Male,34,25 - 45,Single,Pretrial Defendant,0,3,(M1),16,3,0,5.830951894845301,1.7320508075688772,4,Lower
Caucasian,Female,20,Less than 25,Single,Jail Inmate,0,0,(F3),1,7,0,4.47213595499958,0,1,Higher
Caucasian,Male,39,25 - 45,Single,Pretrial Defendant,0,2,(F3),0,1,1,6.244997998398398,1.4142135623730951,0,Lower
Caucasian,Female,54,Greater than 45,Divorced,Jail Inmate,0,0,(M1),0,1,0,7.3484692283495345,0,0,Lower
Hispanic,Female,44,25 - 45,Married,Pretrial Defendant,0,0,(M1),1,1,0,6.6332495807108,0,1,Lower
African-American,Male,19,Less than 25,Single,Pretrial Defendant,0,1,(M2),9,4,1,4.358898943540674,1,3,Lower
African-American,Male,30,25 - 45,Single,Jail Inmate,0,1,(F3),1,2,0,5.477225575051661,1,1,Lower
Caucasian,Female,39,25 - 45,Married,Jail Inmate,0,0,(F3),2,1,1,6.244997998398398,0,1.4142135623730951,Lower
African-American,Female,32,25 - 45,Single,Jail Inmate,0,8,(M1),0,3,0,5.656854249492381,2.8284271247461903,0,Lower
Caucasian,Male,24,Less than 25,Single,Jail Inmate,1,8,(F3),617,6,1,4.898979485566356,2.8284271247461903,24.839484696748443,Higher
Caucasian,Male,30,25 - 45,Single,Jail Inmate,0,0,(F3),6,4,0,5.477225575051661,0,2.449489742783178,Lower
Caucasian,Male,31,25 - 45,Single,Jail Inmate,0,0,(M1),39,5,0,5.5677643628300215,0,6.244997998398398,Lower
Caucasian,Female,39,25 - 45,Single,Jail Inmate,0,1,(F3),107,4,0,6.244997998398398,1,10.344080432788601,Lower
Caucasian,Male,35,25 - 45,Single,Jail Inmate,0,7,(F3),0,6,0,5.916079783099616,2.6457513110645907,0,Higher
Other,Female,24,Less than 25,Married,Jail Inmate,0,0,(F2),17,3,0,4.898979485566356,0,4.123105625617661,Lower
Caucasian,Male,43,25 - 45,Single,Pretrial Defendant,0,1,(F3),1,1,0,6.557438524302,1,1,Lower
African-American,Male,21,Less than 25,Single,Jail Inmate,1,2,(F3),4,9,0,4.58257569495584,1.4142135623730951,2,Higher
African-American,Female,21,Less than 25,Single,Jail Inmate,0,0,(M1),4,4,0,4.58257569495584,0,2,Lower
African-American,Male,21,Less than 25,Single,Jail Inmate,0,3,(F3),6,9,1,4.58257569495584,1.7320508075688772,2.449489742783178,Higher
African-American,Male,27,25 - 45,Single,Jail Inmate,0,0,(F3),1,7,0,5.196152422706632,0,1,Higher
African-American,Male,20,Less than 25,Single,Jail Inmate,0,0,(F3),0,8,0,4.47213595499958,0,0,Higher
Caucasian,Male,38,25 - 45,Married,Jail Inmate,0,5,(M1),3,4,1,6.164414002968976,2.23606797749979,1.7320508075688772,Lower
African-American,Male,27,25 - 45,Single,Jail Inmate,0,3,(F3),540,9,0,5.196152422706632,1.7320508075688772,23.2379000772445,Higher
Caucasian,Male,34,25 - 45,Single,Jail Inmate,0,0,(F3),0,5,0,5.830951894845301,0,0,Lower
African-American,Male,30,25 - 45,Single,Jail Inmate,0,3,(F3),0,3,0,5.477225575051661,1.7320508075688772,0,Lower
African-American,Male,33,25 - 45,Significant Other,Jail Inmate,0,5,(F3),0,5,1,5.744562646538029,2.23606797749979,0,Lower
African-American,Male,37,25 - 45,Separated,Jail Inmate,0,3,(F3),2,2,0,6.082762530298219,1.7320508075688772,1.4142135623730951,Lower
Caucasian,Male,42,25 - 45,Significant Other,Pretrial Defendant,0,1,(F3),37,2,1,6.48074069840786,1,6.082762530298219,Lower
African-American,Male,41,25 - 45,Single,Jail Inmate,1,10,(F3),1894,9,1,6.4031242374328485,3.1622776601683795,43.520110293977886,Higher
African-American,Male,22,Less than 25,Single,Jail Inmate,0,0,(F3),1,4,1,4.69041575982343,0,1,Lower
African-American,Male,33,25 - 45,Divorced,Jail Inmate,1,28,(F3),2383,8,1,5.744562646538029,5.291502622129181,48.815980989835694,Higher
Caucasian,Male,44,25 - 45,Single,Pretrial Defendant,0,0,(M2),1,1,0,6.6332495807108,0,1,Lower
African-American,Male,31,25 - 45,Single,Jail Inmate,0,1,(M1),1,7,0,5.5677643628300215,1,1,Higher
African-American,Male,26,25 - 45,Single,Pretrial Defendant,0,9,(F3),0,8,0,5.0990195135927845,3,0,Higher
Other,Female,30,25 - 45,Single,Jail Inmate,0,1,(F3),1,2,0,5.477225575051661,1,1,Lower
Caucasian,Male,31,25 - 45,Single,Jail Inmate,0,13,(F3),471,10,1,5.5677643628300215,3.605551275463989,21.702534414210707,Higher
African-American,Male,27,25 - 45,Single,Jail Inmate,0,3,(F3),1425,9,1,5.196152422706632,1.7320508075688772,37.749172176353746,Higher
Caucasian,Female,31,25 - 45,Single,Jail Inmate,0,1,(F3),1,2,0,5.5677643628300215,1,1,Lower
Hispanic,Male,47,Greater than 45,Single,Jail Inmate,0,2,(F3),1,1,0,6.855654600401044,1.4142135623730951,1,Lower
Asian,Male,33,25 - 45,Single,Pretrial Defendant,0,2,(MO3),126,8,0,5.744562646538029,1.4142135623730951,11.224972160321824,Higher
Caucasian,Male,52,Greater than 45,Single,Pretrial Defendant,0,3,(M1),1,9,0,7.211102550927978,1.7320508075688772,1,Higher
African-American,Male,33,25 - 45,Single,Jail Inmate,0,19,(F3),1,10,1,5.744562646538029,4.358898943540674,1,Higher
Caucasian,Male,61,Greater than 45,Single,Jail Inmate,0,0,(F3),1888,4,0,7.810249675906654,0,43.45112196480086,Lower
Caucasian,Male,42,25 - 45,Single,Pretrial Defendant,0,6,(F3),0,3,0,6.48074069840786,2.449489742783178,0,Lower
Caucasian,Female,25,25 - 45,Single,Jail Inmate,0,2,(F3),3,4,0,5,1.4142135623730951,1.7320508075688772,Lower
Caucasian,Male,27,25 - 45,Single,Jail Inmate,0,0,(F3),1,1,0,5.196152422706632,0,1,Lower
Caucasian,Male,30,25 - 45,Single,Pretrial Defendant,0,1,(M2),4,2,0,5.477225575051661,1,2,Lower
Other,Female,37,25 - 45,Married,Jail Inmate,0,2,(M2),2,2,0,6.082762530298219,1.4142135623730951,1.4142135623730951,Lower
Caucasian,Male,21,Less than 25,Single,Jail Inmate,0,1,(F3),1,5,0,4.58257569495584,1,1,Lower
Caucasian,Male,28,25 - 45,Single,Jail Inmate,0,0,(M2),1,2,1,5.291502622129181,0,1,Lower
African-American,Female,24,Less than 25,Single,Jail Inmate,0,0,(M1),2,2,0,4.898979485566356,0,1.4142135623730951,Lower
African-American,Male,37,25 - 45,Single,Pretrial Defendant,0,13,(F3),30,8,0,6.082762530298219,3.605551275463989,5.477225575051661,Higher
African-American,Male,22,Less than 25,Single,Jail Inmate,0,0,(F2),8,9,0,4.69041575982343,0,2.8284271247461903,Higher
Caucasian,Female,29,25 - 45,Single,Jail Inmate,1,10,(F3),28,4,1,5.385164807134504,3.1622776601683795,5.291502622129181,Lower
Caucasian,Female,25,25 - 45,Single,Jail Inmate,0,0,(F3),1,3,0,5,0,1,Lower
Caucasian,Male,44,25 - 45,Married,Jail Inmate,0,2,(M1),0,2,1,6.6332495807108,1.4142135623730951,0,Lower
African-American,Male,32,25 - 45,Single,Jail Inmate,0,3,(F3),8,7,1,5.656854249492381,1.7320508075688772,2.8284271247461903,Higher
Hispanic,Male,53,Greater than 45,Married,Jail Inmate,0,1,(F3),1,4,0,7.280109889280518,1,1,Lower
Other,Male,34,25 - 45,Married,Jail Inmate,0,1,(M1),0,2,0,5.830951894845301,1,0,Lower
Caucasian,Male,31,25 - 45,Single,Pretrial Defendant,0,2,(M1),15,3,1,5.5677643628300215,1.4142135623730951,3.872983346207417,Lower
African-American,Male,27,25 - 45,Single,Pretrial Defendant,0,5,(F3),343,10,0,5.196152422706632,2.23606797749979,18.520259177452136,Higher
African-American,Male,31,25 - 45,Married,Jail Inmate,0,1,(M2),1,2,1,5.5677643628300215,1,1,Lower
Caucasian,Male,59,Greater than 45,Single,Pretrial Defendant,0,1,(F3),62,2,1,7.681145747868608,1,7.874007874011811,Lower
African-American,Male,28,25 - 45,Single,Jail Inmate,0,15,(F2),1577,10,0,5.291502622129181,3.872983346207417,39.71145930332956,Higher
Caucasian,Male,23,Less than 25,Single,Jail Inmate,0,0,(M1),1,3,0,4.795831523312719,0,1,Lower
African-American,Female,20,Less than 25,Single,Jail Inmate,1,1,(F3),0,10,0,4.47213595499958,1,0,Higher
Caucasian,Female,43,25 - 45,Married,Jail Inmate,0,0,(M1),0,1,0,6.557438524302,0,0,Lower
African-American,Male,38,25 - 45,Single,Jail Inmate,1,9,(F3),5931,8,1,6.164414002968976,3,77.01298591796062,Higher
African-American,Male,32,25 - 45,Single,Pretrial Defendant,0,11,(F3),559,6,1,5.656854249492381,3.3166247903554,23.643180835073778,Higher
African-American,Male,33,25 - 45,Single,Jail Inmate,0,8,(M2),1,5,1,5.744562646538029,2.8284271247461903,1,Lower
African-American,Male,55,Greater than 45,Single,Jail Inmate,0,4,(MO3),16,8,0,7.416198487095663,2,4,Higher
African-American,Female,31,25 - 45,Single,Jail Inmate,0,0,(F3),2,3,1,5.5677643628300215,0,1.4142135623730951,Lower
African-American,Female,33,25 - 45,Single,Jail Inmate,0,7,(F3),45,9,1,5.744562646538029,2.6457513110645907,6.708203932499369,Higher
African-American,Male,27,25 - 45,Single,Jail Inmate,0,2,(F3),1255,9,1,5.196152422706632,1.4142135623730951,35.4259791678367,Higher
African-American,Male,52,Greater than 45,Married,Jail Inmate,0,0,(M2),1,1,0,7.211102550927978,0,1,Lower
African-American,Female,20,Less than 25,Single,Jail Inmate,0,0,(F3),0,6,0,4.47213595499958,0,0,Higher
Caucasian,Female,26,25 - 45,Single,Pretrial Defendant,0,0,(M2),1,6,0,5.0990195135927845,0,1,Higher
African-American,Male,25,25 - 45,Single,Jail Inmate,0,4,(M1),524,10,0,5,2,22.891046284519195,Higher
African-American,Female,61,Greater than 45,Significant Other,Jail Inmate,0,1,(F3),1,1,1,7.810249675906654,1,1,Lower
Other,Male,52,Greater than 45,Married,Jail Inmate,0,13,(F3),2,7,1,7.211102550927978,3.605551275463989,1.4142135623730951,Higher
Hispanic,Male,63,Greater than 45,Single,Pretrial Defendant,0,1,(F3),17,1,0,7.937253933193772,1,4.123105625617661,Lower
African-American,Female,32,25 - 45,Single,Pretrial Defendant,0,4,(F3),295,10,1,5.656854249492381,2,17.175564037317667,Higher
Hispanic,Male,29,25 - 45,Single,Jail Inmate,0,1,(F3),1,4,0,5.385164807134504,1,1,Lower
African-American,Female,26,25 - 45,Single,Jail Inmate,0,2,(M1),1,4,1,5.0990195135927845,1.4142135623730951,1,Lower
Caucasian,Male,39,25 - 45,Single,Jail Inmate,1,1,(X),4,4,0,6.244997998398398,1,2,Lower
Caucasian,Female,30,25 - 45,Single,Jail Inmate,0,3,(F3),517,7,1,5.477225575051661,1.7320508075688772,22.737634001804146,Higher
African-American,Male,30,25 - 45,Single,Jail Inmate,0,1,(F7),0,7,0,5.477225575051661,1,0,Higher
Caucasian,Male,48,Greater than 45,Single,Jail Inmate,0,2,(M1),897,2,0,6.928203230275509,1.4142135623730951,29.949958263743873,Lower
Caucasian,Male,33,25 - 45,Married,Jail Inmate,0,0,(M1),2,1,0,5.744562646538029,0,1.4142135623730951,Lower
African-American,Male,22,Less than 25,Single,Jail Inmate,0,1,(F3),1,2,0,4.69041575982343,1,1,Lower
Caucasian,Male,46,Greater than 45,Single,Pretrial Defendant,0,6,(F3),1,1,1,6.782329983125268,2.449489742783178,1,Lower
Caucasian,Male,41,25 - 45,Single,Jail Inmate,0,5,(F3),5440,10,0,6.4031242374328485,2.23606797749979,73.7563556583431,Higher
Caucasian,Male,31,25 - 45,Single,Jail Inmate,0,0,(F3),0,5,0,5.5677643628300215,0,0,Lower
African-American,Male,31,25 - 45,Single,Jail Inmate,0,0,(M1),1,1,0,5.5677643628300215,0,1,Lower
African-American,Male,25,25 - 45,Single,Jail Inmate,0,1,(M1),2,2,1,5,1,1.4142135623730951,Lower
African-American,Male,31,25 - 45,Single,Jail Inmate,0,3,(F7),19,3,0,5.5677643628300215,1.7320508075688772,4.358898943540674,Lower
African-American,Female,21,Less than 25,Single,Pretrial Defendant,0,0,(M1),4,6,0,4.58257569495584,0,2,Higher
Hispanic,Male,23,Less than 25,Single,Pretrial Defendant,0,0,(F3),0,3,0,4.795831523312719,0,0,Lower
African-American,Female,32,25 - 45,Single,Jail Inmate,0,5,(F3),1,7,0,5.656854249492381,2.23606797749979,1,Higher
Hispanic,Male,52,Greater than 45,Married,Jail Inmate,0,2,(M2),3,1,0,7.211102550927978,1.4142135623730951,1.7320508075688772,Lower
African-American,Male,62,Greater than 45,Single,Jail Inmate,0,8,(F3),0,4,0,7.874007874011811,2.8284271247461903,0,Lower
Hispanic,Male,31,25 - 45,Single,Pretrial Defendant,0,8,(F3),1153,9,1,5.5677643628300215,2.8284271247461903,33.95585369269929,Higher
African-American,Male,28,25 - 45,Divorced,Jail Inmate,0,6,(M1),1,6,1,5.291502622129181,2.449489742783178,1,Higher
Hispanic,Male,54,Greater than 45,Single,Jail Inmate,0,2,(F2),188,1,0,7.3484692283495345,1.4142135623730951,13.711309200802088,Lower
Hispanic,Male,58,Greater than 45,Single,Pretrial Defendant,0,0,(F3),1,2,0,7.615773105863909,0,1,Lower
Caucasian,Male,78,Greater than 45,Married,Jail Inmate,0,1,(M1),1,1,1,8.831760866327848,1,1,Lower
Caucasian,Male,56,Greater than 45,Divorced,Jail Inmate,0,0,(F3),1,1,0,7.483314773547883,0,1,Lower
